price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
9237.46,9238.82,9227.21,9227.21,2018-04-30T21:11:56.0000000Z,2018-04-30T21:11:11.0000000Z,2018-04-30T21:12:00.0000000Z,2018-04-30T21:11:00.0000000Z,18,0.67199958
9226.9,9237.46,9226.75,9237.46,2018-04-30T21:12:57.0000000Z,2018-04-30T21:12:01.0000000Z,2018-04-30T21:13:00.0000000Z,2018-04-30T21:12:00.0000000Z,14,4.44968783
9248.37,9248.37,9226.9,9226.9,2018-04-30T21:13:59.0000000Z,2018-04-30T21:13:00.0000000Z,2018-04-30T21:14:00.0000000Z,2018-04-30T21:13:00.0000000Z,34,4.36021395
9255.2,9267.01,9242.95,9250.04,2018-04-30T21:14:59.0000000Z,2018-04-30T21:14:00.0000000Z,2018-04-30T21:15:00.0000000Z,2018-04-30T21:14:00.0000000Z,79,23.61290562
9257.17,9266.97,9253.7,9255.2,2018-04-30T21:15:59.0000000Z,2018-04-30T21:15:01.0000000Z,2018-04-30T21:16:00.0000000Z,2018-04-30T21:15:00.0000000Z,45,10.76056655
9249.86,9262.4,9244.52,9260.0,2018-04-30T21:16:57.0000000Z,2018-04-30T21:16:06.0000000Z,2018-04-30T21:17:00.0000000Z,2018-04-30T21:16:00.0000000Z,47,5.13832255
9247.84,9255.26,9236.72,9248.01,2018-04-30T21:17:59.0000000Z,2018-04-30T21:17:00.0000000Z,2018-04-30T21:18:00.0000000Z,2018-04-30T21:17:00.0000000Z,39,8.46808487
9236.01,9247.77,9235.3,9236.75,2018-04-30T21:18:59.0000000Z,2018-04-30T21:18:04.0000000Z,2018-04-30T21:19:00.0000000Z,2018-04-30T21:18:00.0000000Z,17,3.1784144
9245.91,9247.01,9236.01,9236.01,2018-04-30T21:19:58.0000000Z,2018-04-30T21:19:02.0000000Z,2018-04-30T21:20:00.0000000Z,2018-04-30T21:19:00.0000000Z,19,2.02548261
9251.61,9257.5,9244.62,9252.86,2018-04-30T21:20:55.0000000Z,2018-04-30T21:20:00.0000000Z,2018-04-30T21:21:00.0000000Z,2018-04-30T21:20:00.0000000Z,17,0.67448338
9243.3,9246.26,9234.4,9243.61,2018-04-30T21:21:55.0000000Z,2018-04-30T21:21:05.0000000Z,2018-04-30T21:22:00.0000000Z,2018-04-30T21:21:00.0000000Z,55,10.34520001
9238.66,9243.29,9231.8,9243.29,2018-04-30T21:22:53.0000000Z,2018-04-30T21:22:00.0000000Z,2018-04-30T21:23:00.0000000Z,2018-04-30T21:22:00.0000000Z,57,9.973332
9231.44,9238.66,9228.73,9231.8,2018-04-30T21:23:56.0000000Z,2018-04-30T21:23:01.0000000Z,2018-04-30T21:24:00.0000000Z,2018-04-30T21:23:00.0000000Z,45,5.41741595
9232.53,9238.65,9227.05,9231.44,2018-04-30T21:24:58.0000000Z,2018-04-30T21:24:01.0000000Z,2018-04-30T21:25:00.0000000Z,2018-04-30T21:24:00.0000000Z,47,8.08726117
9233.89,9238.61,9225.9,9236.23,2018-04-30T21:25:57.0000000Z,2018-04-30T21:25:02.0000000Z,2018-04-30T21:26:00.0000000Z,2018-04-30T21:25:00.0000000Z,23,7.70639614
9238.61,9238.61,9225.91,9234.0,2018-04-30T21:26:55.0000000Z,2018-04-30T21:26:02.0000000Z,2018-04-30T21:27:00.0000000Z,2018-04-30T21:26:00.0000000Z,18,1.7692923
