data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
2018-05-05,2018-05-05T13:20:04.1548757Z,2018-01-05T15:56:05.6259966Z,2018-05-05T13:20:04.1548757Z,2018-01-05T15:56:05.6259966Z,2018-01-05,21,6306826.0,2018-05-05T13:19:50.0000000Z,2018-01-05T15:51:29.0000000Z,BITCOINID,Indodax,https://indodax.com/
2018-05-05,2018-05-05T13:20:18.4870263Z,2017-08-29T15:53:54.7372595Z,2018-05-05T13:20:18.4870263Z,2017-08-29T15:53:54.7372595Z,2017-05-22,103,6119590.0,2018-05-05T13:18:37.0000000Z,2017-05-22T18:21:41.0000000Z,QUOINE,QRYPTOS,https://www.qryptos.com/
2018-05-05,2018-05-05T13:19:23.5559652Z,2017-09-21T13:50:21.9301963Z,2018-05-05T13:19:23.5559652Z,2017-09-21T13:50:21.9301963Z,2017-09-13,12,5007638.0,2018-05-05T13:19:05.0000000Z,2017-09-13T10:58:32.0000000Z,ACX,ACX,https://acx.io/
2018-05-05,2018-05-05T13:20:57.2365657Z,2017-12-28T21:49:03.2916366Z,2018-05-05T13:20:57.2365657Z,2017-12-28T21:49:03.2916366Z,2017-02-15,233,4496594.0,2018-05-05T13:19:13.0000000Z,2017-02-15T11:28:37.0000000Z,TIDEX,Tidex,https://tidex.com/
2018-05-05,2018-05-05T13:21:55.0105205Z,2017-08-29T15:47:12.6045423Z,2018-05-05T13:21:55.0105205Z,2017-08-29T15:47:12.6045423Z,2017-08-29,9,4424601.0,2018-05-05T13:21:38.0000000Z,2017-08-29T03:39:38.0000000Z,BITSO,Bitso,https://bitso.com/
2018-05-05,2018-05-05T13:21:33.1545385Z,2017-12-28T21:41:59.3272652Z,2018-05-05T13:21:33.1545385Z,2017-12-28T21:41:59.3272652Z,2017-12-28,484,4012989.0,2018-05-05T13:16:50.0000000Z,2017-12-28T20:44:07.0000000Z,LIVECOIN,LiveCoin,https://www.livecoin.net/
2018-05-05,2018-05-05T13:20:01.9400000Z,2018-01-24T00:21:38.5122245Z,2018-05-05T13:20:01.9400000Z,2018-01-24T00:21:38.5122245Z,2018-01-19,6,3917307.0,2018-05-05T13:19:57.0000000Z,2018-01-19T02:29:23.0000000Z,MIXCOINS,MixCoins,https://mixcoins.com/
2018-05-05,2018-05-05T13:15:02.3526852Z,2017-03-14T20:04:16.0302851Z,2018-05-05T13:15:02.3526852Z,2017-03-14T20:04:16.0302851Z,2011-04-27,9,3230258.0,2018-05-05T13:10:26.0000000Z,2011-04-27T16:05:09.0000000Z,VIRWOX,BirWoX,https://www.virwox.com/
2018-03-09,2018-03-09T23:36:52.2702686Z,2017-01-08T23:59:43.3338614Z,2018-03-09T23:36:52.2702686Z,2017-01-08T23:59:43.3338614Z,2017-01-08,179,3185746.0,2018-03-09T23:36:15.4470000Z,2017-01-09T00:21:54.0000000Z,BTER,Bter,https://bter.com/
2018-05-05,2018-05-05T13:15:12.7753344Z,2017-03-14T20:05:05.6101304Z,2018-05-05T13:15:12.7753344Z,2017-03-14T20:05:05.6101304Z,2017-03-07,2,2968942.0,2018-05-05T13:14:26.0000000Z,2017-03-07T18:04:01.0000000Z,MERCADOBITCOIN,Mercado Bitcoin,https://www.mercadobitcoin.com.br/
2018-05-05,2018-05-05T13:21:19.4320237Z,2018-01-24T00:21:46.8349102Z,2018-05-05T13:21:19.4320237Z,2018-01-24T00:21:46.8349102Z,2018-01-15,30,2880253.0,2018-05-05T13:20:02.0000000Z,2018-01-15T19:18:49.0000000Z,CEXIO,CEX.IO,https://cex.io/
